Data,ID,Number,Answer,TF,Response,Total,StartTime,EndTime,Slide
2022.7.28,n22m306,0,,,0.55,0.55,0,550,0
2022.7.28,n22m306,0,,,0.224,0.774,550,774,1
2022.7.28,n22m306,0,,,0.367,1.141,774,1141,2
2022.7.28,n22m306,1,B,T,0.296,1.437,1141,1437,3
2022.7.28,n22m306,2,A,T,0.624,2.061,1847,2471,4
2022.7.28,n22m306,3,A,T,0.731,2.792,2893,3624,5
2022.7.28,n22m306,4,D,T,0.638,3.43,3991,4629,6
2022.7.28,n22m306,5,B,T,0.464,3.894,4950,5414,7
2022.7.28,n22m306,4,D,T,7.049,7.049,0,7049,11
2022.7.28,n22m306,5,D,T,0.549,7.598,7371,7920,12
2022.7.28,n22m306,6,C,T,0.488,8.086,8218,8706,13
2022.7.28,n22m306,7,A,T,0.608,8.694,9066,9674,14
2022.7.28,n22m306,8,B,T,0.678,9.372,9986,10664,15
2022.7.28,n22m306,4,D,T,6.837,6.837,0,6837,11
2022.7.28,n22m306,5,D,T,0.862,7.699,7097,7959,12
2022.7.28,n22m306,6,C,T,0.546,8.245,8229,8775,13
2022.7.28,n22m306,7,A,T,0.513,8.758,9110,9623,14
2022.7.28,n22m306,8,B,T,0.543,9.301,9927,10470,15
2022.7.28,n22m306,8,B,T,10.487,10.487,0,10487,16
2022.7.28,n22m306,9,D,T,0.515,11.002,10752,11267,17
2022.7.28,n22m306,10,B,T,0.543,11.545,11552,12095,18
2022.7.28,n22m306,11,C,T,0.57,12.115,12447,13017,19
2022.7.28,n22m306,12,B,T,0.576,12.691,13329,13905,20
2022.7.28,n22m306,12,A,T,14.05,14.05,0,14050,21
2022.7.28,n22m306,13,D,T,0.557,14.607,14485,15042,22
2022.7.28,n22m306,14,D,T,0.887,15.494,15332,16219,23
2022.7.28,n22m306,15,A,T,0.57,16.064,16514,17084,24
2022.7.28,n22m306,16,B,T,0.753,16.817,17499,18252,25
2022.7.28,n22m306,17,D,F,0.92,17.737,18634,19554,27
2022.7.28,n22m306,12,A,T,13.998,13.998,0,13998,21
2022.7.28,n22m306,13,D,T,0.572,14.57,14384,14956,22
2022.7.28,n22m306,14,D,T,0.646,15.216,15237,15883,23
2022.7.28,n22m306,15,A,T,0.563,15.779,16130,16693,24
2022.7.28,n22m306,16,B,T,0.601,16.38,16968,17569,25
2022.7.28,n22m306,17,D,F,0.576,16.956,17849,18425,27
2022.7.28,n22m306,0,,,0.645,17.601,18425,19070,27
2022.7.28,n22m306,18,B,T,0.639,18.24,19070,19709,28
2022.7.28,n22m306,19,B,T,0.708,18.948,19981,20689,29
2022.7.28,n22m306,12,A,T,14.001,14.001,0,14001,21
2022.7.28,n22m306,13,D,T,0.504,14.505,14306,14810,22
2022.7.28,n22m306,14,D,T,0.617,15.122,15361,15978,23
2022.7.28,n22m306,15,A,T,0.526,15.648,16210,16736,24
2022.7.28,n22m306,16,B,T,0.593,16.241,16992,17585,25
2022.7.28,n22m306,17,D,F,0.592,16.833,18114,18706,27
2022.7.28,n22m306,17,B,T,18.725,18.725,0,18725,28
2022.7.28,n22m306,18,B,T,0.638,19.363,19016,19654,29
2022.7.28,n22m306,19,D,T,0.544,19.907,19919,20463,30
2022.7.28,n22m306,20,B,T,1.062,20.969,20720,21782,31
2022.7.28,n22m306,17,B,T,18.78,18.78,0,18780,28
2022.7.28,n22m306,18,B,T,0.558,19.338,19025,19583,29
2022.7.28,n22m306,19,D,T,0.53,19.868,19949,20479,30
2022.7.28,n22m306,20,B,T,0.914,20.782,20775,21689,31
2022.7.28,n22m306,20,B,F,22.203,22.203,0,22203,32
2022.7.28,n22m306,21,B,F,0.302,22.505,22717,23019,33
2022.7.28,n22m306,22,B,F,0.247,22.752,23299,23546,34
2022.7.28,n22m306,23,B,F,0.272,23.024,23826,24098,35
2022.7.28,n22m306,24,B,T,0.341,23.365,24420,24761,36
2022.7.28,n22m306,20,C,T,22.151,22.151,0,22151,32
2022.7.28,n22m306,21,D,T,0.591,22.742,22841,23432,33
2022.7.28,n22m306,22,B,F,0.476,23.218,23712,24188,34
2022.7.28,n22m306,23,B,F,0.494,23.712,24468,24962,35
2022.7.28,n22m306,24,D,F,1.244,24.956,25236,26480,36
2022.7.28,n22m306,24,C,F,28.078,28.078,0,28078,37
2022.7.28,n22m306,25,A,F,4.299,32.377,28476,32775,38
2022.7.28,n22m306,25,C,T,29.309,29.309,0,29309,39
2022.7.28,n22m306,26,A,T,2.129,31.438,29738,31867,40
2022.7.28,n22m306,26,D,T,33.739,33.739,0,33739,41
2022.7.28,n22m306,27,A,T,1.527,35.266,34178,35705,42
2022.7.28,n22m306,27,D,T,35.371,35.371,0,35371,43
2022.7.28,n22m306,28,A,F,1.489,36.86,35845,37334,44
2022.7.28,n22m306,29,C,T,0.801,37.661,37851,38652,45
2022.7.28,n22m306,29,B,T,38.573,38.573,0,38573,46
2022.7.28,n22m306,30,D,F,0.592,39.165,39180,39772,47
2022.7.28,n22m306,31,A,T,0.649,39.814,40171,40820,48
