Data,ID,Number,Answer,TF,Response,Total,StartTime,EndTime,Slide
2022.7.28,n22m306,1,,,0.503,0.503,0,503,0
2022.7.28,n22m306,1,,,0.36,0.863,503,863,1
2022.7.28,n22m306,1,,,0.311,1.174,863,1174,2
2022.7.28,n22m306,1,B,T,0.346,1.52,1174,1520,3
2022.7.28,n22m306,2,A,T,0.419,1.939,1830,2249,4
2022.7.28,n22m306,3,A,T,0.448,2.387,2575,3023,5
2022.7.28,n22m306,4,D,T,0.599,2.986,3472,4071,6
2022.7.28,n22m306,5,B,T,0.436,3.422,4337,4773,7
2022.7.28,n22m306,6,B,T,0.642,5.064,5031,5673,8
2022.7.28,n22m306,7,C,T,0.545,5.609,5975,6520,9
2022.7.28,n22m306,8,C,T,0.674,6.283,6806,7480,10
2022.7.28,n22m306,9,A,F,0.5,6.783,7805,8305,11
2022.7.28,n22m306,10,D,T,0.59,7.373,8800,9390,12
2022.7.28,n22m306,11,C,T,0.585,7.958,9647,10232,13
