Data,ID,Number,Answer,TF,Response,Total,StartTime,EndTime,Slide
2022.8.1,n22m306,1,,,1.072,1.072,0,1072,0
2022.8.1,n22m306,1,,,0.466,1.538,1072,1538,1
2022.8.1,n22m306,1,,,0.416,1.954,1538,1954,2
2022.8.1,n22m306,1,B,T,1.15,3.104,1954,3104,3
2022.8.1,n22m306,2,A,T,0.99,4.094,4219,5209,4
2022.8.1,n22m306,3,A,T,2.042,6.136,6236,8278,5
2022.8.1,n22m306,4,D,T,0.64,7.776,11903,12543,6
2022.8.1,n22m306,5,B,T,0.992,8.768,13359,14351,7
2022.8.1,n22m306,6,B,T,0.913,9.681,15444,16357,8
2022.8.1,n22m306,7,C,T,7.196,17.877,11420,18616,9
2022.8.1,n22m306,8,C,T,0.917,18.794,19418,20335,10
2022.8.1,n22m306,9,D,T,0.791,19.585,21101,21892,11
