日にち,ID,スライド番号,回答,正誤,反応時間,トータル
2022.7.12,n22m306,1,A,F,46.923,46.923
2022.7.12,n22m306,2,A,T,74.427,121.35
2022.7.12,n22m306,3,A,T,0.519,121.869
2022.7.12,n22m306,4,B,F,5.496,127.365
2022.7.12,n22m306,5,B,T,3.307,130.672
2022.7.12,n22m306,6,A,F,1.594,132.266
2022.7.12,n22m306,7,B,F,3.214,135.48
2022.7.12,n22m306,8,C,T,4.67,140.15
2022.7.12,n22m306,9,D,T,3.91,144.06
2022.7.12,n22m306,10,D,T,269.976,414.036
2022.7.12,n22m306,11,C,T,0.552,414.588
2022.7.12,n22m306,12,A,T,0.903,415.491
2022.7.12,n22m306,13,B,T,0.783,416.274
2022.7.12,n22m306,14,B,T,0.828,417.102
2022.7.12,n22m306,15,D,T,1.145,418.247
2022.7.12,n22m306,16,B,T,0.729,418.976
2022.7.12,n22m306,17,C,T,27.576,446.552
2022.7.12,n22m306,18,B,T,0.58,447.132
2022.7.12,n22m306,19,A,T,0.633,447.765
2022.7.12,n22m306,20,D,T,0.674,448.439
2022.7.12,n22m306,21,D,T,0.976,449.415
2022.7.12,n22m306,22,A,T,0.795,450.21
2022.7.12,n22m306,23,B,T,6.546,456.756
2022.7.12,n22m306,24,D,F,0.975,457.731
2022.7.12,n22m306,25,B,T,0.953,458.684
2022.7
