日にち,ID,スライド番号,回答,正誤,反応時間,トータル
2022.7.12,,1,A,F,9.027,9.027
2022.7.12,,2,A,T,14.485,23.512
2022.7.12,,3,B,F,0.52,24.032
2022.7.12,,4,D,T,0.654,24.686
2022.7.12,,5,C,F,0.742,25.428
2022.7.12,,6,A,F,1.056,26.484
2022.7.12,,7,B,F,0.911,27.395
2022.7.12,,8,C,T,0.767,28.162
2022.7.12,,9,A,F,2.889,31.051
2022.7.12,,10,D,T,1.554,32.605
2022.7.12,,11,C,T,1.526,34.131
2022.7.12,,12,A,T,1.683,35.814
2022.7.12,,13,B,T,0.936,36.75
2022.7.12,,14,B,T,0.742,37.492
2022.7.12,,15,D,T,1.095,38.587
2022.7.12,,16,A,F,16.152,54.739
2022.7.12,,17,C,T,14.031,68.77
2022.7.12,,18,B,T,0.68,69.45
2022.7.12,,19,A,T,0.707,70.15701
2022.7.12,,20,D,T,1.234,71.39101
2022.7.12,,21,A,F,11.743,83.134
2022.7.12,,22,A,T,32.857,115.991
2022.7.12,,23,B,T,11.357,127.348
2022.7.12,,24,D,F,1.294,128.642
2022.7.12,,25,A,F,12.796,141.438
2022.7.12,,26,A,F,15.763,157.201
2022.7.12,,27,D,T,5.401,162.602
2022.7.12,,28,B,T,1.338,163.94
2022.7.12,,29,B,F,17.161,181.101
2022.7.12,,30,A,F,46.788,227.889
2022.7.12,,31,A,F,1.126,229.015
2022.7.12,,32,D,T,1.039,230.054
2022.7.12,,33,D,F,2.763,232.817
2022.7.12,,34,B,T,1.091,233.908
2022.7.12,,35,A,F,4.24,238.148
2022.7.12,,36,A,F,52.581,290.729
2022.7.12,,37,A,T,91.182,381.911
2022.7.12,,38,A,F,0.669,382.58
2022.7.12,,39,B,F,0.351,382.9311
2022.7.12,,40,D,T,0.364,383.2951
2022.7.12,,41,C,F,0.343,383.6381
2022.7.12,,42,C,T,0.689,384.3271
2022.7.12,,43,B,T,56.452,440.7791
2022.7.12,,44,D,F,2.297,443.076
2022.7.12,,45,A,T,0.838,443.9141
2022.7.12,,46,B,F,0.803,444.7171
2022.7.12,,47,C,T,2.511,447.2281
2022.7.12,,48,C,T,1.325,448.5531
2022.7.12,,49,D,T,0.897,449.4501
2022.7.12,,50,C,T,0.896,450.3461
2022.7.12,,51,A,T,0.775,451.1211
2022.7.12,,52,A,F,5.312,456.4331
2022.7.12,,53,A,F,19.396,475.8291
2022.7.12,,54,A,F,26.919,502.7481
2022.7.12,,55,C,F,29.11,531.8581
2022.7.12,,56,C,F,35.374,567.2321
2022.7.12,,57,C,T,1.224,568.4561
2022.7.12,,58,D,T,0.562,569.0181
2022.7.12,,59,A,F,5.528,574.5461
2022.7.12,,60,B,F,6.269,580.8151
2022.7.12,,61,A,T,50.37,631.1851
2
