日にち,ID,スライド番号,回答,正誤,反応時間,トータル
2022.7.12,n22m306,1,B,T,0.449,0.449
2022.7.12,n22m306,2,B,F,0.303,0.752
2022.7.12,n22m306,3,B,F,0.208,0.96
2022.7.12,n22m306,4,B,F,0.14,1.1
2022.7.12,n22m306,5,B,T,0.159,1.259
2022.7.12,n22m306,6,B,T,0.158,1.417
2022.7.12,n22m306,7,B,F,0.177,1.594
2022.7.12,n22m306,8,B,F,0.183,1.777
2022.7.12,n22m306,9,B,F,0.174,1.951
2022.7.12,n22m306,10,B,F,0.158,2.109
2022.7.12,n22m306,11,B,F,0.168,2.277
2022.7.12,n22m306,12,B,F,0.16,2.437
2022.7.12,n22m306,13,B,T,0.178,2.615
2022.7.12,n22m306,14,B,T,0.159,2.774
2022.7.12,n22m306,15,B,F,0.143,2.917
2022.7.12,n22m306,16,B,T,1.345,4.262
